report_date,market,source,noncomm_net,noncomm_net_pct_oi,lev_funds_net,open_interest,usable_from
2005-02-08,sp500,legacy,-10211,-1.1751,,868919,2005-02-14
2005-02-15,nasdaq100,legacy,6711,1.6091,,417066,2005-02-22
2005-02-15,sp500,legacy,-1947,-0.2087,,933078,2005-02-22
2005-02-22,nasdaq100,legacy,8461,1.7842,,474228,2005-02-28
2005-02-22,sp500,legacy,-33015,-3.6477,,905095,2005-02-28
2005-03-01,nasdaq100,legacy,15778,3.4488,,457495,2005-03-07
2005-03-01,sp500,legacy,-54513,-5.4436,,1001414,2005-03-07
2005-03-08,nasdaq100,legacy,-19006,-4.8586,,391185,2005-03-14
2005-03-08,sp500,legacy,-37245,-3.5137,,1059985,2005-03-14
2005-03-15,nasdaq100,legacy,-19431,-3.9716,,489245,2005-03-21
2005-03-15,sp500,legacy,48535,3.9575,,1226408,2005-03-21
2005-03-22,nasdaq100,legacy,-42474,-15.8147,,268573,2005-03-29
2005-03-22,sp500,legacy,-14040,-1.6642,,843641,2005-03-29
2005-03-29,nasdaq100,legacy,-41716,-14.863,,280671,2005-04-04
2005-03-29,sp500,legacy,-19884,-2.3011,,864119,2005-04-04
2005-04-05,nasdaq100,legacy,-52239,-19.8438,,263251,2005-04-11
2005-04-05,sp500,legacy,-53250,-6.0525,,879805,2005-04-11
2005-04-12,nasdaq100,legacy,-39138,-13.9531,,280497,2005-04-18
2005-04-12,sp500,legacy,-20526,-2.3267,,882185,2005-04-18
2005-04-19,nasdaq100,legacy,-68606,-20.9756,,327076,2005-04-25
2005-04-19,sp500,legacy,-14465,-1.4838,,974879,2005-04-25
2005-04-26,nasdaq100,legacy,-67716,-19.8285,,341508,2005-05-02
2005-04-26,sp500,legacy,-1691,-0.1761,,960079,2005-05-02
2005-05-03,nasdaq100,legacy,-78051,-22.9947,,339430,2005-05-09
2005-05-03,sp500,legacy,-23266,-2.3923,,972551,2005-05-09
2005-05-10,nasdaq100,legacy,-86413,-23.9469,,360852,2005-05-16
2005-05-10,sp500,legacy,-55044,-5.3966,,1019983,2005-05-16
2005-05-17,nasdaq100,legacy,-67715,-20.4095,,331781,2005-05-23
2005-05-17,sp500,legacy,-34522,-3.4502,,1000568,2005-05-23
2005-05-24,nasdaq100,legacy,-25778,-8.1821,,315054,2005-05-31
2005-05-24,sp500,legacy,-60170,-5.7357,,1049050,2005-05-31
2005-05-31,nasdaq100,legacy,-40358,-13.1337,,307287,2005-06-06
2005-05-31,sp500,legacy,-34615,-3.2509,,1064782,2005-06-06
2005-06-07,nasdaq100,legacy,-31457,-9.8731,,318613,2005-06-13
2005-06-07,sp500,legacy,-14725,-1.3516,,1089415,2005-06-13
2005-06-14,nasdaq100,legacy,-23994,-5.9266,,404856,2005-06-20
2005-06-14,sp500,legacy,-8405,-0.6937,,1211683,2005-06-20
2005-06-21,nasdaq100,legacy,-15592,-8.3658,,186377,2005-06-27
2005-06-21,sp500,legacy,-97323,-12.1729,,799506,2005-06-27
2005-06-28,nasdaq100,legacy,-15335,-6.921,,221573,2005-07-05
2005-06-28,sp500,legacy,-33860,-4.0496,,836123,2005-07-05
2005-07-05,nasdaq100,legacy,-27292,-11.3716,,240002,2005-07-11
2005-07-05,sp500,legacy,-52773,-6.1495,,858167,2005-07-11
2005-07-12,nasdaq100,legacy,-4140,-1.6002,,258715,2005-07-18
2005-07-12,sp500,legacy,-133325,-14.0341,,950006,2005-07-18
2005-07-19,nasdaq100,legacy,27407,10.2856,,266459,2005-07-25
2005-07-19,sp500,legacy,-101808,-10.7351,,948367,2005-07-25
2005-07-26,nasdaq100,legacy,62853,21.7643,,288790,2005-08-01
2005-07-26,sp500,legacy,-95719,-10.076,,949969,2005-08-01
2005-08-02,nasdaq100,legacy,80990,26.28,,308181,2005-08-08
2005-08-02,sp500,legacy,-108114,-10.7501,,1005704,2005-08-08
2005-08-09,nasdaq100,legacy,68991,21.6551,,318590,2005-08-15
2005-08-09,sp500,legacy,-92299,-9.0305,,1022076,2005-08-15
2005-08-16,nasdaq100,legacy,41568,12.8342,,323884,2005-08-22
2005-08-16,sp500,legacy,-137983,-13.1992,,1045387,2005-08-22
2005-08-23,nasdaq100,legacy,45923,13.5941,,337815,2005-08-29
2005-08-23,sp500,legacy,-131150,-12.0175,,1091327,2005-08-29
2005-08-30,nasdaq100,legacy,14729,4.3974,,334946,2005-09-06
2005-08-30,sp500,legacy,-140860,-12.7632,,1103644,2005-09-06
2005-09-06,nasdaq100,legacy,34759,10.3816,,334813,2005-09-12
2005-09-06,sp500,legacy,-153541,-12.7765,,1201748,2005-09-12
2005-09-13,nasdaq100,legacy,43114,10.9389,,394135,2005-09-19
2005-09-13,sp500,legacy,-174778,-12.2367,,1428315,2005-09-19
2005-09-20,nasdaq100,legacy,28674,12.4279,,230722,2005-09-26
2005-09-20,sp500,legacy,-106349,-11.7841,,902479,2005-09-26
2005-09-27,nasdaq100,legacy,3184,1.1988,,265593,2005-10-03
2005-09-27,sp500,legacy,-56230,-5.9283,,948507,2005-10-03
2005-10-04,nasdaq100,legacy,24594,9.1145,,269833,2005-10-10
2005-10-04,sp500,legacy,-58642,-6.1287,,956849,2005-10-10
2005-10-11,nasdaq100,legacy,-57767,-16.6485,,346981,2005-10-17
2005-10-11,sp500,legacy,-59195,-6.0191,,983451,2005-10-17
2005-10-18,nasdaq100,legacy,-132119,-32.0221,,412587,2005-10-24
2005-10-18,sp500,legacy,-150009,-14.2851,,1050108,2005-10-24
2005-10-25,nasdaq100,legacy,-114278,-28.3184,,403547,2005-10-31
2005-10-25,sp500,legacy,-222121,-19.8482,,1119100,2005-10-31
2005-11-01,nasdaq100,legacy,-69997,-18.6356,,375609,2005-11-07
2005-11-01,sp500,legacy,-146451,-13.2179,,1107973,2005-11-07
2005-11-08,nasdaq100,legacy,14706,4.2202,,348468,2005-11-14
2005-11-08,sp500,legacy,-167851,-14.7656,,1136772,2005-11-14
2005-11-15,nasdaq100,legacy,59665,17.0318,,350316,2005-11-21
2005-11-15,sp500,legacy,-145818,-12.7384,,1144708,2005-11-21
2005-11-22,nasdaq100,legacy,55909,13.2495,,421971,2005-11-29
2005-11-22,sp500,legacy,-106981,-8.8375,,1210541,2005-11-29
2005-11-29,nasdaq100,legacy,57530,13.764,,417975,2005-12-05
