date,strategy,action,holdings,cash,equity,note,logged_at,prev_hash,row_hash
2026-07-21,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10265.28,,2026-07-21 21:00,aca532a2d56c02a23b096630a1d3f9ea9c4112be4aaa9239ade764d845b21beb,d9fcf6a6ed76a0a1617740d7915cb65ea0ce13a5fd328d0873606da8fe29b7ae
2026-07-21,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8932.0,,2026-07-21 21:00,d9fcf6a6ed76a0a1617740d7915cb65ea0ce13a5fd328d0873606da8fe29b7ae,e6cf7dde985bd2888f5db7b860c681ad2b9c85c5d6d3dfbdf54d3df99b0e1b5a
2026-07-21,overnight,ROLL,{},10374.08,10374.08,隔夜+1.53%-成本,2026-07-21 21:00,e6cf7dde985bd2888f5db7b860c681ad2b9c85c5d6d3dfbdf54d3df99b0e1b5a,7132511a19a7032c4ea04f69f425417b688db9617d6457324ab415f658497647
2026-07-21,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9795.61,,2026-07-21 21:00,7132511a19a7032c4ea04f69f425417b688db9617d6457324ab415f658497647,0e851fd0098ef3289af483df4c3836ce5665d84c81ce43000e99bdc1c4c5ff05
2026-07-21,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10265.28,,2026-07-21 21:00,0e851fd0098ef3289af483df4c3836ce5665d84c81ce43000e99bdc1c4c5ff05,81b37905cbdf3d03f8062376ac259c2308f71fe39afee8b860d9202e9dbcfa83
2026-07-22,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,10207.15,,2026-07-22 20:36,81b37905cbdf3d03f8062376ac259c2308f71fe39afee8b860d9202e9dbcfa83,c69c51c2cb01e368868dc0a96d788654b03babfb6d623814816886661f843ecf
2026-07-22,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8832.6,,2026-07-22 20:36,c69c51c2cb01e368868dc0a96d788654b03babfb6d623814816886661f843ecf,f957b07ca484adeeb1ff5c67658da18dc78bddcc54d07c1c55c0e824907118ad
2026-07-22,overnight,ROLL,{},10294.01,10294.01,隔夜-0.75%-成本,2026-07-22 20:36,f957b07ca484adeeb1ff5c67658da18dc78bddcc54d07c1c55c0e824907118ad,aed42be5222588fe40921dffccfe028ad736b86ac6f4ab7db4c5edd52b9e5875
2026-07-22,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9740.14,,2026-07-22 20:36,aed42be5222588fe40921dffccfe028ad736b86ac6f4ab7db4c5edd52b9e5875,dfbed2087b79ceacf58894291d14419bbca9dd9d547468688e4e0ad08c24151d
2026-07-22,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,10207.15,,2026-07-22 20:36,dfbed2087b79ceacf58894291d14419bbca9dd9d547468688e4e0ad08c24151d,8a35fcbe3532a84c07b9657a666228b88c15ed2cf9f04d7b0270c1b6236dcc62
2026-07-23,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9987.36,,2026-07-23 20:05,8a35fcbe3532a84c07b9657a666228b88c15ed2cf9f04d7b0270c1b6236dcc62,3815eb1ac3656d56396bb6555c1498a70f640b9640868af8b2ff973139ad78d8
2026-07-23,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8889.97,,2026-07-23 20:05,3815eb1ac3656d56396bb6555c1498a70f640b9640868af8b2ff973139ad78d8,4d581993b19cafd0bc15dbbb5b01406a7dab6fdbeebae1cb54cd5af669dc61d8
2026-07-23,overnight,ROLL,{},10135.65,10135.65,隔夜-1.52%-成本,2026-07-23 20:05,4d581993b19cafd0bc15dbbb5b01406a7dab6fdbeebae1cb54cd5af669dc61d8,a7b8c0f46880e2e7f6165148ab6cfaf20796f9e0277e5616e89454a4769ba081
2026-07-23,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9530.4,,2026-07-23 20:05,a7b8c0f46880e2e7f6165148ab6cfaf20796f9e0277e5616e89454a4769ba081,56a980fcd03d84350bbd2bc208c2a1506bc6a96b44f5366495dda9a37ea93406
2026-07-23,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9987.36,,2026-07-23 20:05,56a980fcd03d84350bbd2bc208c2a1506bc6a96b44f5366495dda9a37ea93406,fafaf0751a7dd7187b56384b580c054d7371bead5b3e24958f12a286fddfef10
2026-07-24,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9923.04,,2026-07-28 15:57,fafaf0751a7dd7187b56384b580c054d7371bead5b3e24958f12a286fddfef10,fdef03cc9b3f17f746c607aa4160853f48573b059427363518707d25eb1a846b
